Part,Value,Package

"(1,1)",MPL115A2,LGA-8
"(1,2)",MPL115A2,LGA-8
"(1,3)",MPL115A2,LGA-8
"(1,4)",MPL115A2,LGA-8
"(1,5)",MPL115A2,LGA-8
"(2,1)",MPL115A2,LGA-8
"(2,2)",MPL115A2,LGA-8
"(2,3)",MPL115A2,LGA-8
"(2,4)",MPL115A2,LGA-8
"(2,5)",MPL115A2,LGA-8
"(3,1)",MPL115A2,LGA-8
"(3,2)",MPL115A2,LGA-8
"(3,3)",MPL115A2,LGA-8
"(3,4)",MPL115A2,LGA-8
"(3,5)",MPL115A2,LGA-8
"(4,1)",MPL115A2,LGA-8
"(4,2)",MPL115A2,LGA-8
"(4,3)",MPL115A2,LGA-8
"(4,4)",MPL115A2,LGA-8
"(4,5)",MPL115A2,LGA-8
"(5,1)",MPL115A2,LGA-8
"(5,2)",MPL115A2,LGA-8
"(5,3)",MPL115A2,LGA-8
"(5,4)",MPL115A2,LGA-8
"(5,5)",MPL115A2,LGA-8
"(6,1)",MPL115A2,LGA-8
"(6,2)",MPL115A2,LGA-8
"(6,3)",MPL115A2,LGA-8
"(6,4)",MPL115A2,LGA-8
"(6,5)",MPL115A2,LGA-8
"(7,1)",MPL115A2,LGA-8
"(7,2)",MPL115A2,LGA-8
"(7,3)",MPL115A2,LGA-8
"(7,4)",MPL115A2,LGA-8
"(7,5)",MPL115A2,LGA-8
"(8,1)",MPL115A2,LGA-8
"(8,2)",MPL115A2,LGA-8
"(8,3)",MPL115A2,LGA-8
"(8,4)",MPL115A2,LGA-8
"(8,5)",MPL115A2,LGA-8
3.3V,VREG,SOT23-3
AT1,ATTINY24QFN,QFN-20
AT2,ATTINY24QFN,QFN-20
AT3,ATTINY24QFN,QFN-20
AT4,ATTINY24QFN,QFN-20
AT5,ATTINY24QFN,QFN-20
AT6,ATTINY24QFN,QFN-20
AT7,ATTINY24QFN,QFN-20
AT8,ATTINY24QFN,QFN-20
C0,1uF,0603
C1,1uF,0603
C2,1uF,0603
C3,1uF,0603
C4,1uF,0603
C5,1uF,0603
C6,1uF,0603
C7,1uF,0603
C8,1uF,0603
C9,1uF,0603
C10,1uF,0603
C11,.1uF,0603
C12,.01uF,0603
C13,1uF,0603
C14,1uF,0603
C15,1uF,0603
C16,1uF,0603
C17,1uF,0603
C18,1uF,0603
C19,1uF,0603
C20,1uF,0603
C21,1uF,0603
C22,1uF,0603
C23,1uF,0603
C24,1uF,0603
C25,1uF,0603
C26,1uF,0603
C27,1uF,0603
C28,1uF,0603
C29,1uF,0603
C30,1uF,0603
C31,1uF,0603
C32,1uF,0603
C33,1uF,0603
C34,1uF,0603
C35,1uF,0603
C36,1uF,0603
C37,1uF,0603
C38,1uF,0603
C39,1uF,0603
C40,1uF,0603
C41,1uF,0603
C42,1uF,0603
CN1,609-4613-1-ND,USB-MICROB
LED1,RED,CHIPLED_0603
R1,120o,0603
R2,4.7K,0603
R3,4.7K,0603
R4,4.7k,0603
XM1,XMEGA32A4U-MH,QFN-44
